y,Al,Ti,V,Cr,Fe,Co,Ni,Cu
1,0.05,0,0,0.2,0.2,0.2,0.2,0.15
1,0.06,0,0,0.19,0.19,0.19,0.19,0.19
1,0.08,0,0,0.15,0.15,0.15,0.31,0.15
1,0.08,0,0,0.17,0.17,0.17,0.33,0.08
1,0.09,0,0,0.18,0.18,0.18,0.18,0.18
1,0.1,0,0,0.2,0.2,0.2,0.2,0.1
2,0.13,0,0,0.13,0.13,0.4,0.13,0.07
1,0.13,0,0,0.13,0.13,0.44,0.13,0.06
2,0.14,0,0,0.17,0.17,0.17,0.17,0.17
2,0.15,0,0,0.2,0.2,0.2,0.2,0.05
2,0.17,0,0,0.17,0.17,0.17,0.25,0.08
3,0.17,0,0,0.25,0.17,0.17,0.17,0.08
2,0.17,0,0,0.17,0.17,0.17,0.17,0.17
3,0.19,0,0,0.19,0.19,0.19,0.19,0.05
2,0.2,0,0,0.2,0.1,0.2,0.2,0.1
1,0.04,0,0,0.19,0.19,0,0.38,0.19
1,0.06,0,0,0.19,0.19,0,0.38,0.19
1,0.07,0,0,0.19,0.19,0,0.37,0.19
1,0.09,0,0,0.18,0.18,0,0.36,0.18
2,0.09,0,0,0.18,0.36,0,0.18,0.18
1,0.11,0,0,0.18,0.18,0,0.36,0.18
2,0.11,0,0,0.22,0.22,0,0.22,0.22
1,0.12,0,0,0.18,0.18,0,0.35,0.18
2,0.13,0,0,0.17,0.35,0,0.17,0.17
2,0.14,0,0,0.17,0.17,0,0.34,0.17
3,0.17,0,0,0.17,0.33,0,0.17,0.17
3,0.23,0,0,0.15,0.31,0,0.15,0.15
1,0.05,0.09,0,0.18,0.18,0.18,0.18,0.14
2,0.08,0.07,0,0.17,0.17,0.17,0.17,0.17
2,0.08,0.1,0,0.16,0.16,0.16,0.16,0.16
1,0.09,0.04,0,0.18,0.18,0.18,0.18,0.18
2,0.09,0.09,0,0.18,0.18,0.18,0.18,0.09
3,0.14,0.09,0,0.18,0.18,0.18,0.18,0.05
3,0.17,0.08,0,0.17,0.17,0.17,0.17,0.08
3,0.17,0.09,0,0.17,0.17,0.17,0.17,0.04
2,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
3,0.07,0,0.27,0.13,0.13,0.13,0.13,0.13
3,0.07,0,0.25,0.14,0.14,0.14,0.14,0.14
3,0.07,0,0.23,0.14,0.14,0.14,0.14,0.14
3,0.07,0,0.2,0.14,0.14,0.14,0.14,0.14
3,0.07,0,0.18,0.15,0.15,0.15,0.15,0.15
2,0.08,0,0.1,0.16,0.16,0.16,0.16,0.16
2,0.08,0,0.07,0.17,0.17,0.17,0.17,0.17
1,0.09,0,0.04,0.18,0.18,0.18,0.18,0.18
1,0.02,0,0,0.24,0.24,0.24,0.24,0
1,0.05,0,0,0.21,0.26,0.21,0.26,0
1,0.06,0,0,0.24,0.24,0.24,0.24,0
1,0.07,0,0,0.23,0.23,0.23,0.23,0
1,0.09,0,0,0.23,0.23,0.23,0.23,0
2,0.11,0,0,0.22,0.22,0.22,0.22,0
2,0.13,0,0,0.22,0.22,0.22,0.22,0
1,0.13,0,0,0.13,0.13,0.13,0.5,0
2,0.14,0,0,0.14,0.14,0.14,0.43,0
2,0.15,0,0,0.15,0.15,0.15,0.38,0
2,0.17,0,0,0.17,0.17,0.17,0.33,0
2,0.17,0,0,0.17,0.17,0.33,0.17,0
2,0.18,0,0,0.18,0.18,0.3,0.18,0
3,0.18,0,0,0.21,0.21,0.21,0.21,0
2,0.18,0,0,0.18,0.18,0.26,0.18,0
3,0.19,0,0,0.19,0.19,0.23,0.19,0
1,0.05,0,0,0.15,0,0.15,0.65,0
1,0.06,0.09,0,0.21,0.21,0.21,0.21,0
1,0.07,0.07,0,0.22,0.22,0.22,0.22,0
1,0.07,0.04,0,0.22,0.22,0.22,0.22,0
1,0.07,0.02,0,0.23,0.23,0.23,0.23,0
2,0.13,0.07,0,0.13,0.13,0.4,0.13,0
2,0.15,0.08,0,0.15,0.15,0.31,0.15,0
2,0.17,0.08,0,0.17,0.17,0.25,0.17,0
3,0.18,0.09,0,0.18,0.18,0.18,0.18,0
3,0.19,0.07,0,0.19,0.19,0.19,0.19,0
1,0.03,0,0,0,0.31,0.31,0.31,0.03
1,0.06,0,0,0,0.29,0.29,0.29,0.06
1,0.08,0,0,0,0.28,0.28,0.28,0.08
2,0.09,0,0,0,0.27,0.27,0.27,0.09
2,0.11,0,0,0,0.26,0.26,0.26,0.11
2,0.12,0,0,0,0.26,0.26,0.26,0.12
2,0.13,0,0,0,0.25,0.25,0.25,0.13
2,0.14,0,0,0,0.24,0.24,0.24,0.14
1,0.14,0,0,0,0.14,0.43,0.14,0.14
2,0.2,0,0,0,0.2,0.2,0.2,0.2
1,0.08,0,0,0,0.31,0.31,0.31,0
2,0.18,0.18,0,0.09,0.18,0,0.18,0.18
2,0.15,0.15,0,0.23,0.15,0,0.15,0.15
2,0.14,0.14,0,0.29,0.14,0,0.14,0.14
2,0.13,0.13,0,0.38,0.13,0,0.13,0.13
3,0.05,0,0,0.32,0.48,0,0.16,0
3,0.06,0,0,0.31,0.47,0,0.16,0
1,0.07,0,0,0.2,0.2,0,0.53,0
1,0,0,0,0.05,0.24,0.24,0.24,0.24
1,0,0,0,0.1,0.23,0.23,0.23,0.23
1,0,0,0,0.11,0.22,0.22,0.22,0.22
1,0,0,0,0.15,0.21,0.21,0.21,0.21
1,0,0,0,0.17,0.17,0.17,0.17,0.33
1,0,0,0,0.17,0.17,0.33,0.17,0.17
1,0,0,0,0.17,0.33,0.17,0.17,0.17
1,0,0,0,0.17,0.17,0.17,0.33,0.17
1,0,0,0,0.18,0.18,0.27,0.18,0.18
1,0,0,0,0.18,0.18,0.18,0.18,0.27
1,0,0,0,0.18,0.27,0.18,0.18,0.18
1,0,0,0,0.18,0.18,0.18,0.27,0.18
1,0,0,0,0.2,0.2,0.2,0.2,0.2
1,0,0,0,0.21,0.21,0.15,0.21,0.21
1,0,0,0,0.21,0.15,0.21,0.21,0.21
1,0,0,0,0.21,0.21,0.21,0.15,0.21
1,0,0,0,0.21,0.21,0.21,0.21,0.15
1,0,0,0,0.22,0.22,0.11,0.22,0.22
1,0,0,0,0.22,0.11,0.22,0.22,0.22
1,0,0,0,0.22,0.22,0.22,0.11,0.22
1,0,0,0,0.22,0.22,0.22,0.22,0.11
1,0,0,0,0.23,0.23,0.1,0.23,0.23
1,0,0,0,0.23,0.1,0.23,0.23,0.23
1,0,0,0,0.23,0.23,0.23,0.1,0.23
1,0,0,0,0.23,0.23,0.23,0.23,0.07
1,0,0,0,0.24,0.24,0.24,0.05,0.24
1,0,0,0,0.24,0.24,0.05,0.24,0.24
1,0,0,0,0.24,0.05,0.24,0.24,0.24
1,0,0,0,0.27,0.18,0.18,0.18,0.18
1,0,0,0,0.33,0.17,0.17,0.17,0.17
1,0,0.09,0,0.18,0.18,0.18,0.18,0.18
1,0,0,0,0.2,0.2,0.2,0.4,0
1,0,0,0,0.25,0.25,0.25,0.25,0
1,0,0,0,0.27,0.27,0.27,0.2,0
1,0,0.07,0,0.23,0.23,0.23,0.23,0
1,0,0.09,0,0.18,0.18,0.27,0.27,0
1,0,0,0,0,0.24,0.34,0.25,0.17
1,0,0,0,0,0.25,0.25,0.25,0.25
1,0,0,0,0,0.26,0.33,0.2,0.21
1,0,0,0,0,0.3,0.3,0.33,0.07
2,0,0,0,0,0.32,0.29,0.12,0.27
1,0,0.2,0,0,0.2,0.2,0.2,0.2
1,0,0,0.2,0,0.2,0.2,0.2,0.2
3,0.05,0,0,0.32,0.32,0.32,0,0
3,0.1,0,0,0.3,0.3,0.3,0,0
1,0,0,0,0.25,0,0.25,0.25,0.25
1,0,0,0,0.25,0.25,0.25,0,0.25
1,0,0,0,0.15,0,0.15,0.7,0
1,0,0,0,0,0.33,0.33,0.33,0
3,0.19,0,0.04,0.19,0.19,0.19,0.19,0
3,0.17,0,0.14,0.17,0.17,0.17,0.17,0
3,0.17,0,0.17,0.17,0.17,0.17,0.17,0
2,0.17,0.17,0,0,0.17,0.17,0.17,0.17
1,0,0,0,0.2,0.4,0,0.2,0.2
1,0,0,0,0.25,0.25,0,0.25,0.25
3,0.19,0.07,0,0.19,0.19,0.19,0,0.19
1,0,0,0.11,0,0.22,0.22,0.44,0
1,0.04,0,0.11,0,0.21,0.21,0.43,0
1,0.08,0,0.1,0,0.2,0.2,0.41,0
2,0.12,0,0.1,0,0.2,0.2,0.39,0
2,0.15,0,0.09,0,0.19,0.19,0.38,0
2,0.18,0,0.09,0,0.18,0.18,0.36,0
