y,Al,Ti,V,Cr,Fe,Co,Ni,Cu
639,0.22,0,0,0.22,0.22,0.22,0,0.11
185,0.06,0,0,0.19,0.19,0.19,0.19,0.19
200,0.08,0,0,0.15,0.15,0.15,0.31,0.15
280,0.08,0,0,0.17,0.17,0.17,0.33,0.08
216,0.09,0,0,0.18,0.18,0.18,0.18,0.18
273,0.14,0,0,0.17,0.17,0.17,0.17,0.17
295,0.15,0,0,0.15,0.15,0.31,0.15,0.08
310,0.15,0,0,0.15,0.15,0.15,0.31,0.08
607,0.15,0,0,0.31,0.15,0.15,0.15,0.08
514,0.15,0,0,0.15,0.31,0.15,0.15,0.08
358,0.17,0,0,0.17,0.17,0.17,0.25,0.08
601,0.17,0,0,0.25,0.17,0.17,0.17,0.08
451,0.17,0,0,0.17,0.17,0.25,0.17,0.08
537,0.17,0,0,0.17,0.25,0.17,0.17,0.08
473,0.18,0,0,0.18,0.18,0.09,0.18,0.18
367,0.18,0,0,0.09,0.18,0.18,0.18,0.18
418,0.18,0,0,0.18,0.09,0.18,0.18,0.18
423,0.18,0,0,0.18,0.18,0.18,0.09,0.18
586,0.2,0,0,0.2,0.1,0.2,0.2,0.1
546,0.2,0,0,0.1,0.2,0.2,0.2,0.1
604,0.2,0,0,0.2,0.2,0.2,0.1,0.1
551,0.2,0,0,0.2,0.2,0.1,0.2,0.1
475,0.21,0,0,0.16,0.16,0.16,0.16,0.16
580,0.23,0,0,0.23,0.15,0.15,0.16,0.08
510,0.23,0,0,0.15,0.15,0.15,0.15,0.15
602,0.25,0,0,0.17,0.17,0.17,0.17,0.08
558,0.26,0,0,0.15,0.15,0.15,0.15,0.15
576,0.29,0,0,0.14,0.14,0.14,0.14,0.14
609,0.31,0,0,0.15,0.15,0.15,0.15,0.08
603,0.32,0,0,0.14,0.14,0.14,0.14,0.14
625,0.33,0,0,0.13,0.13,0.13,0.13,0.13
655,0.36,0,0,0.13,0.13,0.13,0.13,0.13
735,0.38,0,0,0.13,0.13,0.13,0.13,0.13
883,0.47,0,0,0.18,0.05,0.2,0.05,0.05
162,0.04,0,0,0.19,0.19,0,0.38,0.19
170,0.06,0,0,0.19,0.19,0,0.38,0.19
200,0.07,0,0,0.19,0.19,0,0.37,0.19
238,0.09,0,0,0.18,0.18,0,0.36,0.18
285,0.09,0,0,0.18,0.36,0,0.18,0.18
278,0.11,0,0,0.18,0.18,0,0.36,0.18
382,0.11,0,0,0.22,0.22,0,0.22,0.22
290,0.12,0,0,0.18,0.18,0,0.35,0.18
471,0.13,0,0,0.17,0.35,0,0.17,0.17
315,0.14,0,0,0.17,0.17,0,0.34,0.17
339,0.15,0,0,0.17,0.17,0,0.34,0.17
536,0.17,0,0,0.17,0.33,0,0.17,0.17
392,0.17,0,0,0.17,0.17,0,0.33,0.17
370,0.19,0,0,0.19,0.19,0,0.26,0.19
408,0.19,0,0,0.19,0.19,0,0.23,0.19
521,0.19,0,0,0.16,0.16,0,0.32,0.16
479,0.2,0,0,0.2,0.2,0,0.2,0.2
486,0.21,0,0,0.21,0.21,0,0.17,0.21
494,0.22,0,0,0.22,0.22,0,0.13,0.22
534,0.22,0,0,0.22,0.22,0,0.22,0.11
642,0.23,0,0,0.15,0.31,0,0.15,0.15
546,0.23,0,0,0.15,0.15,0,0.31,0.15
550,0.24,0,0,0.15,0.15,0,0.3,0.15
544,0.26,0,0,0.15,0.15,0,0.29,0.15
573,0.27,0,0,0.18,0.18,0,0.18,0.18
567,0.29,0,0,0.14,0.14,0,0.29,0.14
576,0.31,0,0,0.14,0.14,0,0.28,0.14
593,0.33,0,0,0.13,0.13,0,0.27,0.13
651,0.33,0,0,0.17,0.17,0,0.17,0.17
560,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
583.848,0.07,0,0.27,0.13,0.13,0.13,0.13,0.13
597.554,0.07,0,0.25,0.14,0.14,0.14,0.14,0.14
593.946,0.07,0,0.23,0.14,0.14,0.14,0.14,0.14
577.977,0.07,0,0.2,0.14,0.14,0.14,0.14,0.14
576,0.07,0,0.18,0.15,0.15,0.15,0.15,0.15
640,0.08,0,0.15,0.15,0.15,0.15,0.15,0.15
448,0.08,0,0.13,0.16,0.16,0.16,0.16,0.16
333,0.08,0,0.1,0.16,0.16,0.16,0.16,0.16
230,0.08,0,0.07,0.17,0.17,0.17,0.17,0.17
203,0.09,0,0.04,0.18,0.18,0.18,0.18,0.18
415,0.2,0,0,0.2,0,0.2,0.2,0.2
118,0.02,0,0,0.24,0.24,0.24,0.24,0
168,0.05,0,0,0.21,0.26,0.21,0.26,0
110,0.06,0,0,0.24,0.24,0.24,0.24,0
124,0.07,0,0,0.23,0.23,0.23,0.23,0
127,0.09,0,0,0.23,0.23,0.23,0.23,0
225,0.13,0,0,0.13,0.13,0.13,0.5,0
242,0.14,0,0,0.14,0.14,0.14,0.43,0
338,0.15,0,0,0.21,0.21,0.21,0.21,0
265,0.15,0,0,0.15,0.15,0.15,0.38,0
388,0.16,0,0,0.21,0.21,0.21,0.21,0
335,0.17,0,0,0.17,0.17,0.17,0.33,0
382,0.17,0,0,0.21,0.21,0.21,0.21,0
532,0.17,0,0,0.17,0.17,0.33,0.17,0
617,0.17,0,0,0.33,0.17,0.17,0.17,0
510,0.17,0,0,0.17,0.33,0.17,0.17,0
538,0.18,0,0,0.21,0.21,0.21,0.21,0
503,0.18,0,0,0.18,0.18,0.18,0.27,0
527,0.18,0,0,0.2,0.2,0.2,0.2,0
516,0.2,0,0,0.2,0.2,0.2,0.2,0
555,0.21,0,0,0.21,0.21,0.21,0.15,0
510,0.21,0,0,0.15,0.21,0.21,0.21,0
558,0.21,0,0,0.21,0.15,0.21,0.21,0
548,0.23,0,0,0.23,0.23,0.23,0.1,0
539,0.23,0,0,0.23,0.23,0.1,0.23,0
476,0.23,0,0,0.1,0.23,0.23,0.23,0
587,0.23,0,0,0.23,0.1,0.23,0.23,0
479,0.23,0,0,0.19,0.19,0.19,0.19,0
615,0.24,0,0,0.24,0.24,0.24,0.05,0
550,0.24,0,0,0.24,0.24,0.05,0.24,0
438,0.24,0,0,0.05,0.24,0.24,0.24,0
665,0.24,0,0,0.24,0.05,0.24,0.24,0
487,0.24,0,0,0.19,0.19,0.19,0.19,0
482,0.31,0,0,0.17,0.17,0.17,0.17,0
695,0.38,0,0,0.15,0.15,0.15,0.15,0
740,0.43,0,0,0.14,0.14,0.14,0.14,0
883,0.43,0,0,0.23,0.07,0.22,0.05,0
712,0.25,0,0,0.25,0,0.25,0.25,0
448,0.06,0.1,0,0.21,0.21,0.21,0.21,0
336,0.06,0.09,0,0.21,0.21,0.21,0.21,0
278,0.07,0.07,0,0.22,0.22,0.22,0.22,0
244,0.07,0.04,0,0.22,0.22,0.22,0.22,0
181,0.07,0.02,0,0.23,0.23,0.23,0.23,0
166,0.14,0,0,0,0.14,0.43,0.14,0.14
249,0.17,0,0,0,0.17,0.33,0.17,0.17
366,0.18,0,0,0,0.18,0.27,0.18,0.18
536,0.2,0,0,0,0.2,0.2,0.2,0.2
584,0.22,0,0,0,0.22,0.22,0.22,0.11
545,0.22,0,0,0,0.22,0.11,0.22,0.22
531,0.24,0,0,0,0.24,0.05,0.24,0.24
135,0.08,0,0,0,0.31,0.31,0.31,0
205,0.14,0,0,0,0.29,0.29,0.29,0
380,0.2,0,0,0,0.27,0.27,0.27,0
430,0.25,0,0,0,0.25,0.25,0.25,0
304,0.06,0,0,0.31,0.47,0,0.16,0
450,0.12,0,0,0.29,0.44,0,0.15,0
153,0,0,0,0.05,0.24,0.24,0.24,0.24
158,0,0,0,0.1,0.23,0.23,0.23,0.23
161,0,0,0,0.15,0.21,0.21,0.21,0.21
175,0,0,0,0.17,0.17,0.33,0.17,0.17
157,0,0,0,0.17,0.33,0.17,0.17,0.17
158,0,0,0,0.17,0.17,0.17,0.33,0.17
133,0,0,0,0.2,0.2,0.2,0.2,0.2
158,0,0,0,0.21,0.21,0.15,0.21,0.21
171,0,0,0,0.21,0.15,0.21,0.21,0.21
167,0,0,0,0.21,0.21,0.21,0.15,0.21
150,0,0,0,0.23,0.23,0.1,0.23,0.23
172,0,0,0,0.23,0.1,0.23,0.23,0.23
170,0,0,0,0.23,0.23,0.23,0.1,0.23
146,0,0,0,0.24,0.24,0.05,0.24,0.24
182,0,0,0,0.24,0.05,0.24,0.24,0.24
172,0,0,0,0.33,0.17,0.17,0.17,0.17
125,0,0,0,0.2,0.2,0.2,0.4,0
135,0,0,0,0.25,0.25,0.25,0.25,0
140,0,0,0,0.27,0.27,0.27,0.2,0
367,0,0.07,0,0.23,0.23,0.23,0.23,0
515,0,0.11,0,0.22,0.22,0.22,0.22,0
174,0,0,0,0,0.24,0.34,0.25,0.17
162.5,0,0,0,0,0.25,0.25,0.25,0.25
171,0,0,0,0,0.26,0.33,0.2,0.21
124,0,0,0,0,0.3,0.3,0.33,0.07
