y,Al,Ti,V,Cr,Fe,Co,Ni,Cu
289.7,0.05,0,0,0.2,0.2,0.2,0.2,0.15
359.2,0.1,0,0,0.2,0.2,0.2,0.2,0.1
1526.5,0.15,0,0,0.2,0.2,0.2,0.2,0.05
1300,0.17,0,0,0.17,0.17,0.17,0.17,0.17
687,0.09,0,0,0.18,0.36,0,0.18,0.18
948,0.13,0,0,0.17,0.35,0,0.17,0.17
1299,0.17,0,0,0.17,0.33,0,0.17,0.17
1396,0.23,0,0,0.15,0.31,0,0.15,0.15
750,0.05,0.09,0,0.18,0.18,0.18,0.18,0.14
1580,0.09,0.09,0,0.18,0.18,0.18,0.18,0.09
1900,0.14,0.09,0,0.18,0.18,0.18,0.18,0.05
1984,0.17,0.08,0,0.17,0.17,0.17,0.17,0.08
1994,0.17,0.09,0,0.17,0.17,0.17,0.17,0.04
805.462,0.17,0,0,0.17,0.17,0.33,0.17,0
1106.39,0.18,0,0,0.18,0.18,0.3,0.18,0
1327.8,0.18,0,0,0.18,0.18,0.26,0.18,0
1368.73,0.19,0,0,0.19,0.19,0.23,0.19,0
1466.25,0.2,0,0,0.2,0.2,0.2,0.2,0
2220,0.15,0.23,0,0.15,0.15,0.15,0.15,0
1860,0.17,0.17,0,0.17,0.17,0.17,0.17,0
2076.666667,0.18,0.09,0,0.18,0.18,0.18,0.18,0
1970,0.19,0.07,0,0.19,0.19,0.19,0.19,0
1710,0.19,0.04,0,0.19,0.19,0.19,0.19,0
791.3,0.2,0,0,0,0.27,0.27,0.27,0
971.3,0.25,0,0,0,0.25,0.25,0.25,0
1471,0.24,0,0,0.24,0.14,0,0.38,0
1406.2,0.25,0,0,0.25,0.25,0,0.25,0
230,0,0,0,0.2,0.2,0.2,0.2,0.2
700,0,0.09,0,0.18,0.18,0.18,0.18,0.18
1042,0,0.14,0,0.17,0.17,0.17,0.17,0.17
1272,0,0.17,0,0.17,0.17,0.17,0.17,0.17
136,0,0,0,0.25,0.25,0.25,0.25,0
648,0,0.07,0,0.23,0.23,0.23,0.23,0
898,0,0.11,0,0.22,0.22,0.22,0.22,0
1492.4,0.19,0,0.04,0.19,0.19,0.19,0.19,0
1597.7,0.18,0,0.09,0.18,0.18,0.18,0.18,0
1695.8,0.17,0,0.14,0.17,0.17,0.17,0.17,0
1726.5,0.17,0,0.17,0.17,0.17,0.17,0.17,0
249,0,0,0,0.2,0.4,0,0.2,0.2
169.8,0,0,0.11,0,0.22,0.22,0.44,0
336.4,0.04,0,0.11,0,0.21,0.21,0.43,0
374.8,0.08,0,0.1,0,0.2,0.2,0.41,0
426.6,0.12,0,0.1,0,0.2,0.2,0.39,0
703.4,0.15,0,0.09,0,0.19,0.19,0.38,0
1059.2,0.18,0,0.09,0,0.18,0.18,0.36,0
